country.x,ISO_Code,year.x,Men_marriage15_19,Men_marriage20_24,Men_marriage25_29,Men_marriage30_34,Men_marriage35_39,Men_marriage40_44,Men_marriage45_49,Men_marriage50_54,Men_marriage55_59,Men_marriage60_64,Men_marriage65_up,Men_mean_marriage,Women_marriage15_19,Women_marriage20_24,Women_marriage25_29,Women_marriage30_34,Women_marriage35_39,Women_marriage40_44,Women_marriage45_49,Women_marriage50_54,Women_marriage55_59,Women_marriage60_64,Women_marriage65_up,Women_mean_marriage
Afghanistan,4,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,66.2,90,96.5,98.7,99.1,99.5,NA,NA,NA,NA,21.5
Albania,8,2011,2,9.8,39,73.7,88.9,94.6,96.9,97.8,98.4,98.8,98.6,29.2,7.2,37.4,68.9,85.3,92.7,95.7,96.9,97.4,97.7,98.3,98.3,25.1
Algeria,12,2002,0.2,1.6,14.6,46.4,81.1,92.7,97.7,98.7,99.1,99.7,99.8,33,1.8,16.6,42.4,66.3,83.4,90.9,96.2,97.4,98.5,99.4,99.1,29.5
American Samoa,16,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4,NA,73.8,NA,87.2,NA,94.7,NA,NA,NA,NA,25.7
Angola,24,1970,7.6,41.7,71.4,82.9,86.7,91.9,92.5,93.6,91.9,92.8,NA,24.5,35.7,82.8,88.4,91.3,90,95.3,95.4,93.7,92.4,91.8,NA,19.4
Anguilla,660,2001,0,5.1,23.7,43.8,55,61.9,70.8,70.6,73.2,81.1,85.3,31.6,1.5,15.1,32.6,52.4,55.3,63.3,66.2,67.7,76.1,81.8,80.6,28.6
Antigua and Barbuda,28,2001,1,10,35.6,53.7,66.1,71.4,70.7,78.3,78.5,79.8,80.3,29.3,3.9,22.1,41.7,53.5,58.9,60.5,60.9,63,67.7,70.3,67.9,25.7
Argentina,32,2010,6,27.3,53,72.5,81.6,85.2,87.7,89.1,90.3,91.2,92.3,26.6,12.9,39.6,62.3,76.4,82.7,85.6,87.4,88.4,89.6,90.1,90.8,24.6
Armenia,51,2010,1,14,52.1,75.3,92.2,94.7,95.5,NA,NA,NA,NA,27.8,8.4,44.5,71,83.6,91.1,94.2,95.6,NA,NA,NA,NA,24.4
Aruba,533,2010,0.2,5.3,24.2,48.3,65.2,74,76.9,79.1,83.7,88.2,91,31.2,0.8,10.4,36.4,57.8,67.8,73.1,73,75.3,77.2,79.6,83.7,28.5
Australia,36,2006,0.4,4.6,26.4,54,69.1,77.8,83.6,88.1,91.6,93.1,94.2,31.6,0.8,10.4,39.7,65.1,77.5,84.4,88.7,92,94.5,95.7,96,29.7
Austria,40,2011,0,3.7,16.5,41.2,59.4,71.5,79.7,86.4,88.6,92.1,94.8,33.6,0,9.7,31.1,55.4,71.2,79.5,86.3,89.5,91.9,93.8,93.6,31
Azerbaijan,31,2009,0.3,15,53,78.2,88.7,94.9,97.3,98.4,98.8,99.1,99.5,28.2,8.3,44.6,71.4,83.3,88.8,91.8,93.1,94.7,96.2,97.4,98.2,24.4
Bahamas,44,2000,0.5,11.3,37.5,59.5,69.7,77.3,82.2,86.1,87.8,90.7,92.4,29.9,3.1,24.9,46.7,62.2,69.4,72,76.2,80.6,83.8,84.3,85.1,27.4
Bahrain,48,2001,0.3,13.5,37.8,61.8,78.8,86.7,91.7,94,95,96.6,96.6,30,4.2,34.9,63.8,74.1,82.7,88.6,91.2,94.5,97.4,98.2,98.7,26.3
